woreda,woreda uid,zone,zone id,region,region id
Dolobay,ORG00000849,Afder  ,ORG00000844,Somali,ORG00000843
Doreni,ORG00000498,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Doyogena,ORG00000760,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
Dubluk,ORG00000368,Borena  ,ORG00000361,Oromia,ORG00000311
Dubti,ORG00000025,Awsa,ORG00000014,Afar,ORG00000013
Dugda,ORG00000425,E. Shewa ,ORG00000413,Oromia,ORG00000311
Dugda Dawa,ORG00000633,West Guji,ORG00000631,Oromia,ORG00000311
Duguna Fango,ORG00000834,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Duhun,ORG00000908,Nogobo  ,ORG00000904,Somali,ORG00000843
Dukem Town,ORG00000453,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Dulech,ORG00000037,Gabi,ORG00000035,Afar,ORG00000013
Duna,ORG00000737,Hadiya  ,ORG00000731,SNNPR,ORG00000668
Durame Town,ORG00000758,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
East Belesa,ORG00000108,N. Gonder,ORG00000085,Amhara,ORG00000053
East Emi,ORG00000920,Shebele  ,ORG00000914,Somali,ORG00000843
Ebantu,ORG00000448,E. Wellega ,ORG00000431,Oromia,ORG00000311
Ebinat,ORG00000162,S. Gonder,ORG00000157,Amhara,ORG00000053
Efratanagidem,ORG00000114,N. Shoa,ORG00000109,Amhara,ORG00000053
Ejere,ORG00000597,W. Shewa ,ORG00000589,Oromia,ORG00000311
Ejersa Lafo,ORG00000606,W. Shewa ,ORG00000589,Oromia,ORG00000311
Elfeta,ORG00000592,W. Shewa ,ORG00000589,Oromia,ORG00000311
Elidar,ORG00000030,Awsa,ORG00000014,Afar,ORG00000013
Eliwaye,ORG00000370,Borena  ,ORG00000361,Oromia,ORG00000311
Elkere,ORG00000853,Afder  ,ORG00000844,Somali,ORG00000843
Elu,ORG00000565,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Enarje Enawuga,ORG00000081,E. Gojam,ORG00000066,Amhara,ORG00000053
Enda mohoni,ORG00000985,South Tigray ,ORG00000980,Tigray,ORG00000934
Endegagn,ORG00000826,West Gurage ,ORG00000825,SNNPR,ORG00000668
Enderta,ORG00000979,South East ,ORG00000975,Tigray,ORG00000934
Enebsie Sarmeder,ORG00000078,E. Gojam,ORG00000066,Amhara,ORG00000053
Enemay,ORG00000077,E. Gojam,ORG00000066,Amhara,ORG00000053
Enemorna Ener,ORG00000730,Gurage  ,ORG00000719,SNNPR,ORG00000668
Enkelo Wabe,ORG00000320,Arsi  ,ORG00000312,Oromia,ORG00000311
Ensaro,ORG00000130,N. Shoa,ORG00000109,Amhara,ORG00000053
Erebti,ORG00000044,Harri,ORG00000040,Afar,ORG00000013
Erer,ORG00000931,Siti  ,ORG00000925,Somali,ORG00000843
Erer,ORG00000306,Harare  ,ORG00000301,Harare,ORG00000299
Erob,ORG00000949,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Essera,ORG00000682,Dawro  ,ORG00000681,SNNPR,ORG00000668
Estie (East Estie),ORG00000167,S. Gonder,ORG00000157,Amhara,ORG00000053
Ewa,ORG00000043,Harri,ORG00000040,Afar,ORG00000013
Ezha,ORG00000720,Gurage  ,ORG00000719,SNNPR,ORG00000668
Fagita Lekoma,ORG00000062,Awi,ORG00000054,Amhara,ORG00000053
Farta,ORG00000158,S. Gonder,ORG00000157,Amhara,ORG00000053
Fedis,ORG00000398,E. Harerge ,ORG00000388,Oromia,ORG00000311
Fentale,ORG00000424,E. Shewa ,ORG00000413,Oromia,ORG00000311
Ferfer,ORG00000922,Shebele  ,ORG00000914,Somali,ORG00000843
Fiche Town,ORG00000552,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Fik,ORG00000913,Nogobo  ,ORG00000904,Somali,ORG00000843
Filtu,ORG00000901,Liban  ,ORG00000896,Somali,ORG00000843
Finote Selam,ORG00000213,West Gojam,ORG00000201,Amhara,ORG00000053
Fogera,ORG00000168,S. Gonder,ORG00000157,Amhara,ORG00000053
Gablalu,ORG00000933,Siti  ,ORG00000925,Somali,ORG00000843
Gadeb Asasa,ORG00000617,West Arsi ,ORG00000613,Oromia,ORG00000311
Galadin,ORG00000870,Dollo  ,ORG00000868,Somali,ORG00000843
Gambela Town,ORG00000275,Gambella,ORG00000274,Gambella,ORG00000267
Gambella,ORG00000269,Agnua II ,ORG00000268,Gambella,ORG00000267
Ganta Afeshum,ORG00000953,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Garbo,ORG00000909,Nogobo  ,ORG00000904,Somali,ORG00000843
Gasara,ORG00000355,Bale  ,ORG00000340,Oromia,ORG00000311
Gashamo,ORG00000867,Degehabur  ,ORG00000857,Somali,ORG00000843
Gawo Kebe,ORG00000537,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Gazgibla,ORG00000199,Wag Hemra,ORG00000193,Amhara,ORG00000053
Gazo,ORG00000148,N. Wello,ORG00000134,Amhara,ORG00000053
Gechi,ORG00000385,Buno Bedele,ORG00000377,Oromia,ORG00000311
Gedeb,ORG00000711,Gedio  ,ORG00000710,SNNPR,ORG00000668
Gedebano Gutazer Welen (Kokir),ORG00000724,Gurage  ,ORG00000719,SNNPR,ORG00000668
Gelana,gffPrSLK5g5,Borena  ,ORG00000361,Oromia,ORG00000311
Gelana,ORG00000632,West Guji,ORG00000631,Oromia,ORG00000311
Gelan Town,ORG00000454,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Gemechis,ORG00000585,W. Harerge ,ORG00000571,Oromia,ORG00000311
Gena-Bossa,ORG00000685,Dawro  ,ORG00000681,SNNPR,ORG00000668
Gendawuha,ORG00000090,N. Gonder,ORG00000085,Amhara,ORG00000053
Gendo Kore,ORG00000260,Dire Dawa,ORG00000257,Dire Dawa,ORG00000256
Genji,ORG00000663,West Wellega ,ORG00000644,Oromia,ORG00000311
Gera,ORG00000516,Jimma  ,ORG00000508,Oromia,ORG00000311
Gesha,ORG00000747,Kafa  ,ORG00000743,SNNPR,ORG00000668
Geshe,ORG00000110,N. Shoa,ORG00000109,Amhara,ORG00000053
Geta,ORG00000727,Gurage  ,ORG00000719,SNNPR,ORG00000668
Geter Adwa,ORG00000945,Central Tigray ,ORG00000935,Tigray,ORG00000934
Gewane,ORG00000042,Harri,ORG00000040,Afar,ORG00000013
Gewata,ORG00000752,Kafa  ,ORG00000743,SNNPR,ORG00000668
Gezie Gofa,ORG00000694,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Gibe,ORG00000740,Hadiya  ,ORG00000731,SNNPR,ORG00000668
Gida Ayyana,ORG00000442,E. Wellega ,ORG00000431,Oromia,ORG00000311
Gidami,ORG00000538,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Gidan,ORG00000144,N. Wello,ORG00000134,Amhara,ORG00000053
Gimbichu,ORG00000422,E. Shewa ,ORG00000413,Oromia,ORG00000311
Gimbi Rural,ORG00000661,West Wellega ,ORG00000644,Oromia,ORG00000311
Gimbi Town,ORG00000647,West Wellega ,ORG00000644,Oromia,ORG00000311
Gimbo,ORG00000754,Kafa  ,ORG00000743,SNNPR,ORG00000668
Gindeberet,ORG00000604,W. Shewa ,ORG00000589,Oromia,ORG00000311
Ginir,ORG00000353,Bale  ,ORG00000340,Oromia,ORG00000311
Ginir Town,BhTPDLSPFsy,Bale  ,ORG00000340,Oromia,ORG00000311
Girar Jarso,ORG00000553,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Girja,ORG00000471,Guji  ,ORG00000464,Oromia,ORG00000311
Glomekeda,ORG00000952,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Goba,ORG00000354,Bale  ,ORG00000340,Oromia,ORG00000311
Goba Town,ORG00000342,Bale  ,ORG00000340,Oromia,ORG00000311
Gobmora,ORG00000739,Hadiya  ,ORG00000731,SNNPR,ORG00000668
Gode,ORG00000915,Shebele  ,ORG00000914,Somali,ORG00000843
Godere,ORG00000280,Mejang  ,ORG00000278,Gambella,ORG00000267
Gode Town,ORG00000916,Shebele  ,ORG00000914,Somali,ORG00000843
God-god,ORG00000855,Afder  ,ORG00000844,Somali,ORG00000843
Gog,ORG00000273,Agnua II ,ORG00000268,Gambella,ORG00000267
Gola oda,ORG00000403,E. Harerge ,ORG00000388,Oromia,ORG00000311
Goljano,ORG00000877,Faafame  ,ORG00000874,Somali,ORG00000843
Gololcha,ORG00000359,Bale  ,ORG00000340,Oromia,ORG00000311
Gololcha,ORG00000338,Arsi  ,ORG00000312,Oromia,ORG00000311
Gomma,ORG00000511,Jimma  ,ORG00000508,Oromia,ORG00000311
Gomole,ORG00000376,Borena  ,ORG00000361,Oromia,ORG00000311
Gonchasieso enesie,ORG00000082,E. Gojam,ORG00000066,Amhara,ORG00000053
Gonder town,ORG00000103,N. Gonder,ORG00000085,Amhara,ORG00000053
Gonder Zuriya,ORG00000092,N. Gonder,ORG00000085,Amhara,ORG00000053
Gongi Kolela,ORG00000215,West Gojam,ORG00000201,Amhara,ORG00000053
Goraboqaksa,ORG00000851,Afder  ,ORG00000844,Somali,ORG00000843
Gorche,ORG00000787,Sidama  ,ORG00000775,SNNPR,ORG00000668
Goro,ORG00000570,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Goro,ORG00000360,Bale  ,ORG00000340,Oromia,ORG00000311
Goro Dola,ORG00000469,Guji  ,ORG00000464,Oromia,ORG00000311
Goro gutu,ORG00000399,E. Harerge ,ORG00000388,Oromia,ORG00000311
Goro Muti,ORG00000412,E. Harerge ,ORG00000388,Oromia,ORG00000311
Gozamen,ORG00000080,E. Gojam,ORG00000066,Amhara,ORG00000053
Guagusa Shikudad,ORG00000057,Awi,ORG00000054,Amhara,ORG00000053
Guangua,ORG00000063,Awi,ORG00000054,Amhara,ORG00000053
Guba,ORG00000238,Metekel,ORG00000234,Beneshangul Gumuz,ORG00000218
Guba Koricha,ORG00000583,W. Harerge ,ORG00000571,Oromia,ORG00000311
Gubalafto,ORG00000143,N. Wello,ORG00000134,Amhara,ORG00000053
Gubu Sayo,ORG00000446,E. Wellega ,ORG00000431,Oromia,ORG00000311
Guchi,ORG00000372,Borena  ,ORG00000361,Oromia,ORG00000311
Gudaya Bila,ORG00000443,E. Wellega ,ORG00000431,Oromia,ORG00000311
Guduru,ORG00000491,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Gulelie Subcity,ORG00000003,Addis Ababa,ORG00000002,Addis Ababa,ORG00000001
Gulina,ORG00000045,Harri,ORG00000040,Afar,ORG00000013
Guliso,ORG00000662,West Wellega ,ORG00000644,Oromia,ORG00000311
Gumbi Bordede,ORG00000587,W. Harerge ,ORG00000571,Oromia,ORG00000311
Gumi Eldalo,ORG00000475,Guji  ,ORG00000464,Oromia,ORG00000311
Gumma,ORG00000515,Jimma  ,ORG00000508,Oromia,ORG00000311
Gummer,ORG00000728,Gurage  ,ORG00000719,SNNPR,ORG00000668
Guna,ORG00000313,Arsi  ,ORG00000312,Oromia,ORG00000311
Gunagado,ORG00000865,Degehabur  ,ORG00000857,Somali,ORG00000843
Guradamole,ORG00000845,Afder  ,ORG00000844,Somali,ORG00000843
Gura Dhamole,ORG00000348,Bale  ,ORG00000340,Oromia,ORG00000311
Gura ferda,ORG00000671,Bench Maji ,ORG00000669,SNNPR,ORG00000668
Gurawa,ORG00000401,E. Harerge ,ORG00000388,Oromia,ORG00000311
Gursum,ORG00000876,Faafame  ,ORG00000874,Somali,ORG00000843
Gursum,ORG00000405,E. Harerge ,ORG00000388,Oromia,ORG00000311
Guto Gida,ORG00000445,E. Wellega ,ORG00000431,Oromia,ORG00000311
Hababo Guduru,ORG00000492,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Habro,ORG00000580,W. Harerge ,ORG00000571,Oromia,ORG00000311
Habru,ORG00000139,N. Wello,ORG00000134,Amhara,ORG00000053
Hadaleelila,ORG00000041,Harri,ORG00000040,Afar,ORG00000013
Hadero Tunto Zuria,ORG00000757,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
Hadhagala,ORG00000932,Siti  ,ORG00000925,Somali,ORG00000843
Hadnet,ORG00000965,Mekele  ,ORG00000958,Tigray,ORG00000934
Hageremariam,ORG00000111,N. Shoa,ORG00000109,Amhara,ORG00000053
Hakim,ORG00000307,Harare  ,ORG00000301,Harare,ORG00000299
Halaba Rural,ORG00000823,Special  ,ORG00000818,SNNPR,ORG00000668
Halaba Town,ORG00000824,Special  ,ORG00000818,SNNPR,ORG00000668
Hamaro,ORG00000907,Nogobo  ,ORG00000904,Somali,ORG00000843
Hambala wamana,ORG00000636,West Guji,ORG00000631,Oromia,ORG00000311
Hammer,ORG00000810,South Omo ,ORG00000808,SNNPR,ORG00000668
Haramaya,ORG00000395,E. Harerge ,ORG00000388,Oromia,ORG00000311
Harana Buluk,ORG00000357,Bale  ,ORG00000340,Oromia,ORG00000311
Harawa,ORG00000882,Faafame  ,ORG00000874,Somali,ORG00000843
Hargele,ORG00000846,Afder  ,ORG00000844,Somali,ORG00000843
Haro Limu,ORG00000440,E. Wellega ,ORG00000431,Oromia,ORG00000311
Haromaya Town,ORG00000392,E. Harerge ,ORG00000388,Oromia,ORG00000311
Harorays,ORG00000888,Faafame  ,ORG00000874,Somali,ORG00000843
Haro Wolabu,ORG00000476,Guji  ,ORG00000464,Oromia,ORG00000311
Harshim,ORG00000879,Faafame  ,ORG00000874,Somali,ORG00000843
Haru,ORG00000656,West Wellega ,ORG00000644,Oromia,ORG00000311
Hawa Gelan,ORG00000541,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Hawasa Zuria,ORG00000786,Sidama  ,ORG00000775,SNNPR,ORG00000668
Hawassa City Aministration,ORG00000778,Sidama  ,ORG00000775,SNNPR,ORG00000668
Hawelti,ORG00000960,Mekele  ,ORG00000958,Tigray,ORG00000934
Hawi Gudina,ORG00000584,W. Harerge ,ORG00000571,Oromia,ORG00000311
Hawzien,ORG00000955,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Heben Arsi,ORG00000629,West Arsi ,ORG00000613,Oromia,ORG00000311
Hetosa,ORG00000325,Arsi  ,ORG00000312,Oromia,ORG00000311
Hidhabu Abote,ORG00000550,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Hintalo-Wojerat,ORG00000978,South East ,ORG00000975,Tigray,ORG00000934
Holota,ORG00000455,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Homa,ORG00000648,West Wellega ,ORG00000644,Oromia,ORG00000311
Homosha,ORG00000225,Asosa,ORG00000219,Beneshangul Gumuz,ORG00000218
Horo,ORG00000486,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Hossana Town,ORG00000733,Hadiya  ,ORG00000731,SNNPR,ORG00000668
Hudet,ORG00000899,Liban  ,ORG00000896,Somali,ORG00000843
Huka Halu,ORG00000497,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Hula,ORG00000795,Sidama  ,ORG00000775,SNNPR,ORG00000668
Hulbarg,ORG00000802,Silti  ,ORG00000798,SNNPR,ORG00000668
Huletejuenesie,ORG00000076,E. Gojam,ORG00000066,Amhara,ORG00000053
Humbo,ORG00000836,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Hurumu,ORG00000505,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Ilu Gelan,ORG00000591,W. Shewa ,ORG00000589,Oromia,ORG00000311
Injibara Town,ORG00000058,Awi,ORG00000054,Amhara,ORG00000053
Itang,ORG00000277,Itang  ,ORG00000276,Gambella,ORG00000267
Jabi Tehinan,ORG00000203,West Gojam,ORG00000201,Amhara,ORG00000053
Jama,ORG00000185,S. Wello,ORG00000170,Amhara,ORG00000053
Janamora,ORG00000099,N. Gonder,ORG00000085,Amhara,ORG00000053
Jardega jarte,ORG00000489,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Jarso,ORG00000645,West Wellega ,ORG00000644,Oromia,ORG00000311
Jarso,ORG00000406,E. Harerge ,ORG00000388,Oromia,ORG00000311
Jawi,ORG00000061,Awi,ORG00000054,Amhara,ORG00000053
Jeju,ORG00000337,Arsi  ,ORG00000312,Oromia,ORG00000311
Jeldesa,ORG00000261,Dire Dawa,ORG00000257,Dire Dawa,ORG00000256
Jeldu,ORG00000607,W. Shewa ,ORG00000589,Oromia,ORG00000311
Jenela,ORG00000308,Harare  ,ORG00000301,Harare,ORG00000299
Jewi Camp,ORG00000295,Refugee Camp,ORG00000287,Gambella,ORG00000267
Jibat,ORG00000601,W. Shewa ,ORG00000589,Oromia,ORG00000311
Jidda,ORG00000546,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Jijiga Rural,LtZ56CsALRI,Faafame  ,ORG00000874,Somali,ORG00000843
Jijiga Town,ORG00000878,Faafame  ,ORG00000874,Somali,ORG00000843
Jikawo,ORG00000285,Nuer II ,ORG00000281,Gambella,ORG00000267
Jille Timuga,ORG00000152,Oromiya ,ORG00000149,Amhara,ORG00000053
Jima Arjo,ORG00000439,E. Wellega ,ORG00000431,Oromia,ORG00000311
Jimma Ganati,ORG00000488,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Jimma Horo,ORG00000539,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Jimma Rare,ORG00000490,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Jimma Town,ORG00000513,Jimma  ,ORG00000508,Oromia,ORG00000311
Jinka Town,ORG00000809,South Omo ,ORG00000808,SNNPR,ORG00000668
Jor,ORG00000272,Agnua II ,ORG00000268,Gambella,ORG00000267
Kacha Birra,ORG00000756,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
Kafta Humera,ORG00000991,West Tigray ,ORG00000989,Tigray,ORG00000934
Kallu,ORG00000175,S. Wello,ORG00000170,Amhara,ORG00000053
Kamashi,ORG00000230,Kamashi,ORG00000228,Beneshangul Gumuz,ORG00000218
Karsa dula baliad,ORG00000852,Afder  ,ORG00000844,Somali,ORG00000843
Kebena,ORG00000726,Gurage  ,ORG00000719,SNNPR,ORG00000668
Kebribeyah,ORG00000884,Faafame  ,ORG00000874,Somali,ORG00000843
Kebribeyah Town,ORG00000886,Faafame  ,ORG00000874,Somali,ORG00000843
Kebridahar,ORG00000892,Korahe  ,ORG00000889,Somali,ORG00000843
Kebridehar Town,ORG00000890,Korahe  ,ORG00000889,Somali,ORG00000843
kedamay Woyane,ORG00000962,Mekele  ,ORG00000958,Tigray,ORG00000934
Kedida Gamela,ORG00000762,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
Kelafo,ORG00000921,Shebele  ,ORG00000914,Somali,ORG00000843
Kelala,ORG00000174,S. Wello,ORG00000170,Amhara,ORG00000053
Kemba,ORG00000708,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Kemissie,ORG00000156,Oromiya ,ORG00000149,Amhara,ORG00000053
Kercha,ORG00000638,West Guji,ORG00000631,Oromia,ORG00000311
Kercha Town,ORG00000639,West Guji,ORG00000631,Oromia,ORG00000311
Kersa,ORG00000519,Jimma  ,ORG00000508,Oromia,ORG00000311
Kersa,ORG00000407,E. Harerge ,ORG00000388,Oromia,ORG00000311
Kersa Malima,ORG00000567,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Kewot,ORG00000115,N. Shoa,ORG00000109,Amhara,ORG00000053
Kilte Awlaelo,ORG00000956,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Kiltu Kara,ORG00000652,West Wellega ,ORG00000644,Oromia,ORG00000311
Kimbibit,ORG00000547,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Kindo Didaye,ORG00000839,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Kindo Koysha,ORG00000841,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Kiremu,ORG00000434,E. Wellega ,ORG00000431,Oromia,ORG00000311
Kirkose Subcity,ORG00000012,Addis Ababa,ORG00000002,Addis Ababa,ORG00000001
Kobo,ORG00000141,N. Wello,ORG00000134,Amhara,ORG00000053
Kobo Town,ORG00000136,N. Wello,ORG00000134,Amhara,ORG00000053
Kochere,ORG00000715,Gedio  ,ORG00000710,SNNPR,ORG00000668
Kofele,ORG00000619,West Arsi ,ORG00000613,Oromia,ORG00000311
Kokosa,ORG00000620,West Arsi ,ORG00000613,Oromia,ORG00000311
Kolfie Keranio Subcity,ORG00000006,Addis Ababa,ORG00000002,Addis Ababa,ORG00000001
Kolla Temben,ORG00000947,Central Tigray ,ORG00000935,Tigray,ORG00000934
Kombolcha,ORG00000408,E. Harerge ,ORG00000388,Oromia,ORG00000311
Kombolcha,ORG00000192,S. Wello,ORG00000170,Amhara,ORG00000053
konata,ORG00000822,Special  ,ORG00000818,SNNPR,ORG00000668
Kondala,ORG00000655,West Wellega ,ORG00000644,Oromia,ORG00000311
Koneba,ORG00000046,Harri,ORG00000040,Afar,ORG00000013
Konso,ORG00000819,Special  ,ORG00000818,SNNPR,ORG00000668
Kore,ORG00000622,West Arsi ,ORG00000613,Oromia,ORG00000311
Korem Town,ORG00000987,South Tigray ,ORG00000980,Tigray,ORG00000934
Kori,ORG00000024,Awsa,ORG00000014,Afar,ORG00000013
Kucha,ORG00000693,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Kuha,ORG00000961,Mekele  ,ORG00000958,Tigray,ORG00000934
Kule Camp,ORG00000297,Refugee Camp,ORG00000287,Gambella,ORG00000267
Kuni,Q8UU1fgvMob,W. Harerge ,ORG00000571,Oromia,ORG00000311
Kurfacale,ORG00000389,E. Harerge ,ORG00000388,Oromia,ORG00000311
Kurmuke,ORG00000221,Asosa,ORG00000219,Beneshangul Gumuz,ORG00000218
Kutaber,ORG00000177,S. Wello,ORG00000170,Amhara,ORG00000053
Kuyu,ORG00000545,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Laelay Adyabo,ORG00000968,North West Tigray,ORG00000966,Tigray,ORG00000934
Laelay Maichew,ORG00000940,Central Tigray ,ORG00000935,Tigray,ORG00000934
Lagahida,ORG00000905,Nogobo  ,ORG00000904,Somali,ORG00000843
Lagambo,ORG00000187,S. Wello,ORG00000170,Amhara,ORG00000053
Lalibella Town,ORG00000142,N. Wello,ORG00000134,Amhara,ORG00000053
Lalo Asabi,ORG00000660,West Wellega ,ORG00000644,Oromia,ORG00000311
Lalo Kile,ORG00000542,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Lanforo,ORG00000805,Silti  ,ORG00000798,SNNPR,ORG00000668
Lare,ORG00000286,Nuer II ,ORG00000281,Gambella,ORG00000267
Lasta,ORG00000138,N. Wello,ORG00000134,Amhara,ORG00000053
Lay Armachiho,ORG00000100,N. Gonder,ORG00000085,Amhara,ORG00000053
Lay Gaint,ORG00000166,S. Gonder,ORG00000157,Amhara,ORG00000053
Legehare,ORG00000262,Dire Dawa,ORG00000257,Dire Dawa,ORG00000256
Lege Hida,ORG00000343,Bale  ,ORG00000340,Oromia,ORG00000311
Lege hida,ORG00000172,S. Wello,ORG00000170,Amhara,ORG00000053
Legetafo Town,ORG00000456,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Leka Dulecha,ORG00000441,E. Wellega ,ORG00000431,Oromia,ORG00000311
Lemo,ORG00000741,Hadiya  ,ORG00000731,SNNPR,ORG00000668
Leta Sebu,ORG00000667,West Wellega ,ORG00000644,Oromia,ORG00000311
Liben,ORG00000474,Guji  ,ORG00000464,Oromia,ORG00000311
Liben,ORG00000428,E. Shewa ,ORG00000413,Oromia,ORG00000311
Liben Jawi,ORG00000612,W. Shewa ,ORG00000589,Oromia,ORG00000311
Libo Kemkem,ORG00000164,S. Gonder,ORG00000157,Amhara,ORG00000053
